,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Deaths_by_100,000","Cases_by_100,000"
10800,Denmark,2020-05-08,10083.0,506.0,65.74,65.74,2020.0,May,8.0,1.0,-78.0,19.0,8.695652173913043,173.27719539439767
10801,Denmark,2020-05-09,10218.0,512.0,65.74,65.74,2020.0,May,9.0,2.0,-6.0,3.0,8.798762673998969,175.597181646331
10802,Denmark,2020-05-10,10319.0,516.0,65.74,65.74,2020.0,May,10.0,2.0,-5.0,2.0,8.867503007389587,177.33287506444407
10803,Denmark,2020-05-11,10429.0,519.0,65.74,65.74,2020.0,May,11.0,2.0,-32.0,11.0,8.91905825743255,179.22323423268602
10804,Denmark,2020-05-12,10513.0,524.0,65.74,65.74,2020.0,May,12.0,2.0,-31.0,11.0,9.00498367417082,180.666781233889
10805,Denmark,2020-05-13,10591.0,528.0,65.74,65.74,2020.0,May,13.0,2.0,-30.0,11.0,9.073724007561436,182.007217735006
10806,Denmark,2020-05-14,10667.0,534.0,65.74,65.74,2020.0,May,14.0,2.0,-30.0,9.0,9.176834507647362,183.31328406942774
10807,Denmark,2020-05-15,10713.0,538.0,65.74,65.74,2020.0,May,15.0,2.0,-31.0,10.0,9.24557484103798,184.10379790341983
10808,Denmark,2020-05-16,10791.0,538.0,65.74,65.74,2020.0,May,16.0,2.0,-8.0,6.0,9.24557484103798,185.44423440453687
10809,Denmark,2020-05-17,10858.0,543.0,65.74,65.74,2020.0,May,17.0,3.0,-7.0,5.0,9.33150025777625,186.59563498882972
10810,Denmark,2020-05-18,10927.0,547.0,65.74,65.74,2020.0,May,18.0,3.0,-25.0,9.0,9.400240591166867,187.78140573981784
10811,Denmark,2020-05-19,10968.0,548.0,65.74,65.74,2020.0,May,19.0,3.0,-22.0,8.0,9.417425674514522,188.48599415707167
10812,Denmark,2020-05-20,11044.0,551.0,65.74,65.74,2020.0,May,20.0,3.0,-22.0,4.0,9.468980924557485,189.7920604914934
10813,Denmark,2020-05-21,11117.0,554.0,65.74,65.74,2020.0,May,21.0,3.0,-77.0,16.0,9.520536174600448,191.04657157587215
10814,Denmark,2020-05-22,11182.0,561.0,65.74,65.74,2020.0,May,22.0,3.0,-60.0,14.0,9.640831758034027,192.16360199346968
10815,Denmark,2020-05-23,11230.0,561.0,65.74,65.74,2020.0,May,23.0,3.0,2.0,3.0,9.640831758034027,192.9884859941571
10816,Denmark,2020-05-24,11289.0,561.0,65.74,65.74,2020.0,May,24.0,3.0,-3.0,2.0,9.640831758034027,194.0024059116687
10817,Denmark,2020-05-25,11360.0,562.0,62.96,62.96,2020.0,May,25.0,4.0,-24.0,7.0,9.65801684138168,195.22254682935213
10818,Denmark,2020-05-26,11387.0,563.0,62.96,62.96,2020.0,May,26.0,4.0,-20.0,6.0,9.675201924729336,195.68654407973878
10819,Denmark,2020-05-27,11428.0,563.0,62.96,62.96,2020.0,May,27.0,4.0,-19.0,7.0,9.675201924729336,196.3911324969926
10820,Denmark,2020-05-28,11480.0,565.0,62.96,62.96,2020.0,May,28.0,4.0,-19.0,6.0,9.709572091424644,197.28475683107064
10821,Denmark,2020-05-29,11512.0,568.0,62.96,62.96,2020.0,May,29.0,4.0,-18.0,3.0,9.761127341467606,197.83467949819558
10822,Denmark,2020-05-30,11593.0,568.0,62.96,62.96,2020.0,May,30.0,4.0,13.0,-1.0,9.761127341467606,199.22667124935558
10823,Denmark,2020-05-31,11633.0,571.0,62.96,62.96,2020.0,May,31.0,4.0,5.0,-1.0,9.812682591510569,199.91407458326174
10824,Denmark,2020-06-01,11669.0,574.0,62.96,62.96,2020.0,June,1.0,1.0,-77.0,13.0,9.864237841553532,200.53273758377728
10825,Denmark,2020-06-02,11699.0,576.0,62.96,62.96,2020.0,June,2.0,1.0,-19.0,3.0,9.898608008248841,201.0482900842069
10826,Denmark,2020-06-03,11734.0,580.0,62.96,62.96,2020.0,June,3.0,1.0,-19.0,5.0,9.967348341639457,201.6497680013748
10827,Denmark,2020-06-04,11771.0,580.0,62.96,62.96,2020.0,June,4.0,1.0,-20.0,4.0,9.967348341639457,202.28561608523802
10828,Denmark,2020-06-05,11811.0,582.0,62.96,62.96,2020.0,June,5.0,1.0,-63.0,15.0,10.001718508334767,202.97301941914418
10829,Denmark,2020-06-06,11875.0,586.0,62.96,62.96,2020.0,June,6.0,1.0,4.0,3.0,10.070458841725383,204.07286475339407
10830,Denmark,2020-06-07,11924.0,587.0,62.96,62.96,2020.0,June,7.0,1.0,6.0,1.0,10.087643925073037,204.91493383742912
10831,Denmark,2020-06-08,11948.0,589.0,62.96,62.96,2020.0,June,8.0,1.0,-19.0,5.0,10.122014091768346,205.32737583777282
10832,Denmark,2020-06-09,11962.0,593.0,62.96,62.96,2020.0,June,9.0,2.0,-18.0,4.0,10.190754425158962,205.56796700463997
10833,Denmark,2020-06-10,12001.0,593.0,62.96,62.96,2020.0,June,10.0,2.0,-18.0,5.0,10.190754425158962,206.2381852551985
10834,Denmark,2020-06-11,12016.0,593.0,62.96,62.96,2020.0,June,11.0,2.0,-19.0,5.0,10.190754425158962,206.4959615054133
10835,Denmark,2020-06-12,12035.0,593.0,62.96,62.96,2020.0,June,12.0,2.0,-18.0,4.0,10.190754425158962,206.82247808901874
10836,Denmark,2020-06-13,12099.0,594.0,62.96,62.96,2020.0,June,13.0,2.0,10.0,0.0,10.207939508506616,207.9223234232686
10837,Denmark,2020-06-14,12139.0,597.0,62.96,62.96,2020.0,June,14.0,2.0,13.0,-1.0,10.259494758549579,208.60972675717477
10838,Denmark,2020-06-15,12193.0,597.0,62.96,62.96,2020.0,June,15.0,2.0,-18.0,3.0,10.259494758549579,209.5377212579481
10839,Denmark,2020-06-16,12217.0,598.0,62.96,62.96,2020.0,June,16.0,2.0,-17.0,2.0,10.276679841897234,209.9501632582918
10840,Denmark,2020-06-17,12250.0,598.0,62.96,62.96,2020.0,June,17.0,3.0,-17.0,3.0,10.276679841897234,210.5172710087644
10841,Denmark,2020-06-18,12294.0,598.0,62.96,62.96,2020.0,June,18.0,3.0,-18.0,2.0,10.276679841897234,211.27341467606118
10842,Denmark,2020-06-19,12344.0,600.0,62.96,62.96,2020.0,June,19.0,3.0,-19.0,3.0,10.311050008592542,212.1326688434439
10843,Denmark,2020-06-20,12391.0,600.0,62.96,62.96,2020.0,June,20.0,3.0,6.0,0.0,10.311050008592542,212.94036776078366
10844,Denmark,2020-06-21,12391.0,600.0,62.96,62.96,2020.0,June,21.0,3.0,8.0,-1.0,10.311050008592542,212.94036776078366
10845,Denmark,2020-06-22,12391.0,600.0,62.96,62.96,2020.0,June,22.0,3.0,-21.0,3.0,10.311050008592542,212.94036776078366
10846,Denmark,2020-06-23,12527.0,602.0,62.96,62.96,2020.0,June,23.0,3.0,-19.0,0.0,10.34542017528785,215.27753909606463
10847,Denmark,2020-06-24,12561.0,603.0,62.96,62.96,2020.0,June,24.0,4.0,-18.0,2.0,10.362605258635504,215.86183192988486
10848,Denmark,2020-06-25,12615.0,603.0,62.96,62.96,2020.0,June,25.0,4.0,-19.0,1.0,10.362605258635504,216.7898264306582
10849,Denmark,2020-06-26,12636.0,603.0,62.96,62.96,2020.0,June,26.0,4.0,-19.0,0.0,10.362605258635504,217.15071318095895
10850,Denmark,2020-06-27,12675.0,604.0,62.96,62.96,2020.0,June,27.0,4.0,5.0,-4.0,10.37979034198316,217.82093143151747
10851,Denmark,2020-06-28,12675.0,604.0,62.96,62.96,2020.0,June,28.0,4.0,3.0,-1.0,10.37979034198316,217.82093143151747
