,Year_x,Month_x,Total consumption of electricity used (all providers) TWh,day_x,Date,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Year_y,Month_y,day_y
90,2020,January,27.6744872450955,15,2020-01-15,Ethiopia,,,0.0,2020.0,January,15
91,2020,January,27.6744872450955,15,2020-01-15,Finland,0.0,0.0,0.0,2020.0,January,15
92,2020,January,27.6744872450955,15,2020-01-15,Fiji,,,0.0,2020.0,January,15
93,2020,January,27.6744872450955,15,2020-01-15,France,0.0,0.0,0.0,2020.0,January,15
94,2020,January,27.6744872450955,15,2020-01-15,Gabon,,,0.0,2020.0,January,15
95,2020,January,27.6744872450955,15,2020-01-15,United Kingdom,0.0,0.0,0.0,2020.0,January,15
96,2020,January,27.6744872450955,15,2020-01-15,Georgia,0.0,0.0,0.0,2020.0,January,15
97,2020,January,27.6744872450955,15,2020-01-15,Ghana,,,0.0,2020.0,January,15
98,2020,January,27.6744872450955,15,2020-01-15,Gibraltar,,,0.0,2020.0,January,15
99,2020,January,27.6744872450955,15,2020-01-15,Guinea,,,0.0,2020.0,January,15
100,2020,January,27.6744872450955,15,2020-01-15,Gambia,,,0.0,2020.0,January,15
101,2020,January,27.6744872450955,15,2020-01-15,Greece,0.0,0.0,0.0,2020.0,January,15
102,2020,January,27.6744872450955,15,2020-01-15,Greenland,,,0.0,2020.0,January,15
103,2020,January,27.6744872450955,15,2020-01-15,Guatemala,,,0.0,2020.0,January,15
104,2020,January,27.6744872450955,15,2020-01-15,Guam,,,0.0,2020.0,January,15
105,2020,January,27.6744872450955,15,2020-01-15,Guyana,,,0.0,2020.0,January,15
106,2020,January,27.6744872450955,15,2020-01-15,Hong Kong,,,13.89,2020.0,January,15
107,2020,January,27.6744872450955,15,2020-01-15,Honduras,,,0.0,2020.0,January,15
108,2020,January,27.6744872450955,15,2020-01-15,Croatia,0.0,0.0,0.0,2020.0,January,15
109,2020,January,27.6744872450955,15,2020-01-15,Haiti,,,0.0,2020.0,January,15
110,2020,January,27.6744872450955,15,2020-01-15,Hungary,,,0.0,2020.0,January,15
111,2020,January,27.6744872450955,15,2020-01-15,Indonesia,0.0,0.0,5.56,2020.0,January,15
112,2020,January,27.6744872450955,15,2020-01-15,India,0.0,0.0,0.0,2020.0,January,15
113,2020,January,27.6744872450955,15,2020-01-15,Ireland,0.0,0.0,0.0,2020.0,January,15
114,2020,January,27.6744872450955,15,2020-01-15,Iran,0.0,0.0,0.0,2020.0,January,15
115,2020,January,27.6744872450955,15,2020-01-15,Iraq,0.0,0.0,0.0,2020.0,January,15
116,2020,January,27.6744872450955,15,2020-01-15,Iceland,0.0,0.0,0.0,2020.0,January,15
117,2020,January,27.6744872450955,15,2020-01-15,Israel,0.0,0.0,0.0,2020.0,January,15
118,2020,January,27.6744872450955,15,2020-01-15,Italy,0.0,0.0,0.0,2020.0,January,15
119,2020,January,27.6744872450955,15,2020-01-15,Jamaica,,,0.0,2020.0,January,15
120,2020,January,27.6744872450955,15,2020-01-15,Jordan,,,0.0,2020.0,January,15
121,2020,January,27.6744872450955,15,2020-01-15,Japan,1.0,0.0,2.78,2020.0,January,15
122,2020,January,27.6744872450955,15,2020-01-15,Kazakhstan,,,0.0,2020.0,January,15
123,2020,January,27.6744872450955,15,2020-01-15,Kenya,,,0.0,2020.0,January,15
124,2020,January,27.6744872450955,15,2020-01-15,Kyrgyz Republic,,,0.0,2020.0,January,15
125,2020,January,27.6744872450955,15,2020-01-15,Cambodia,0.0,0.0,0.0,2020.0,January,15
126,2020,January,27.6744872450955,15,2020-01-15,South Korea,0.0,0.0,0.0,2020.0,January,15
127,2020,January,27.6744872450955,15,2020-01-15,Kuwait,0.0,0.0,0.0,2020.0,January,15
128,2020,January,27.6744872450955,15,2020-01-15,Laos,,,0.0,2020.0,January,15
129,2020,January,27.6744872450955,15,2020-01-15,Lebanon,0.0,0.0,0.0,2020.0,January,15
130,2020,January,27.6744872450955,15,2020-01-15,Liberia,,,0.0,2020.0,January,15
131,2020,January,27.6744872450955,15,2020-01-15,Libya,,,0.0,2020.0,January,15
132,2020,January,27.6744872450955,15,2020-01-15,Sri Lanka,0.0,0.0,0.0,2020.0,January,15
133,2020,January,27.6744872450955,15,2020-01-15,Lesotho,,,0.0,2020.0,January,15
134,2020,January,27.6744872450955,15,2020-01-15,Lithuania,0.0,0.0,0.0,2020.0,January,15
135,2020,January,27.6744872450955,15,2020-01-15,Luxembourg,0.0,0.0,0.0,2020.0,January,15
136,2020,January,27.6744872450955,15,2020-01-15,Latvia,,,0.0,2020.0,January,15
137,2020,January,27.6744872450955,15,2020-01-15,Macao,,,13.89,2020.0,January,15
138,2020,January,27.6744872450955,15,2020-01-15,Morocco,,,0.0,2020.0,January,15
139,2020,January,27.6744872450955,15,2020-01-15,Moldova,,,0.0,2020.0,January,15
140,2020,January,27.6744872450955,15,2020-01-15,Madagascar,,,0.0,2020.0,January,15
141,2020,January,27.6744872450955,15,2020-01-15,Mexico,0.0,0.0,0.0,2020.0,January,15
142,2020,January,27.6744872450955,15,2020-01-15,Mali,,,0.0,2020.0,January,15
143,2020,January,27.6744872450955,15,2020-01-15,Myanmar,,,0.0,2020.0,January,15
144,2020,January,27.6744872450955,15,2020-01-15,Mongolia,,,11.11,2020.0,January,15
145,2020,January,27.6744872450955,15,2020-01-15,Mozambique,,,0.0,2020.0,January,15
146,2020,January,27.6744872450955,15,2020-01-15,Mauritania,,,0.0,2020.0,January,15
147,2020,January,27.6744872450955,15,2020-01-15,Mauritius,,,0.0,2020.0,January,15
148,2020,January,27.6744872450955,15,2020-01-15,Malawi,,,0.0,2020.0,January,15
149,2020,January,27.6744872450955,15,2020-01-15,Malaysia,0.0,0.0,0.0,2020.0,January,15
150,2020,January,27.6744872450955,15,2020-01-15,Namibia,,,0.0,2020.0,January,15
151,2020,January,27.6744872450955,15,2020-01-15,Niger,,,0.0,2020.0,January,15
152,2020,January,27.6744872450955,15,2020-01-15,Nigeria,0.0,0.0,0.0,2020.0,January,15
153,2020,January,27.6744872450955,15,2020-01-15,Nicaragua,,,0.0,2020.0,January,15
154,2020,January,27.6744872450955,15,2020-01-15,Netherlands,0.0,0.0,0.0,2020.0,January,15
155,2020,January,27.6744872450955,15,2020-01-15,Norway,0.0,0.0,0.0,2020.0,January,15
156,2020,January,27.6744872450955,15,2020-01-15,Nepal,0.0,0.0,0.0,2020.0,January,15
157,2020,January,27.6744872450955,15,2020-01-15,New Zealand,0.0,0.0,0.0,2020.0,January,15
158,2020,January,27.6744872450955,15,2020-01-15,Oman,0.0,0.0,0.0,2020.0,January,15
159,2020,January,27.6744872450955,15,2020-01-15,Pakistan,0.0,0.0,0.0,2020.0,January,15
160,2020,January,27.6744872450955,15,2020-01-15,Panama,,,0.0,2020.0,January,15
161,2020,January,27.6744872450955,15,2020-01-15,Peru,,,0.0,2020.0,January,15
162,2020,January,27.6744872450955,15,2020-01-15,Philippines,0.0,0.0,0.0,2020.0,January,15
163,2020,January,27.6744872450955,15,2020-01-15,Papua New Guinea,,,0.0,2020.0,January,15
164,2020,January,27.6744872450955,15,2020-01-15,Poland,,,0.0,2020.0,January,15
165,2020,January,27.6744872450955,15,2020-01-15,Puerto Rico,,,0.0,2020.0,January,15
166,2020,January,27.6744872450955,15,2020-01-15,Portugal,,,0.0,2020.0,January,15
167,2020,January,27.6744872450955,15,2020-01-15,Paraguay,,,0.0,2020.0,January,15
168,2020,January,27.6744872450955,15,2020-01-15,Palestine,,,0.0,2020.0,January,15
169,2020,January,27.6744872450955,15,2020-01-15,Qatar,0.0,0.0,0.0,2020.0,January,15
170,2020,January,27.6744872450955,15,2020-01-15,Romania,0.0,0.0,0.0,2020.0,January,15
171,2020,January,27.6744872450955,15,2020-01-15,Russia,0.0,0.0,0.0,2020.0,January,15
172,2020,January,27.6744872450955,15,2020-01-15,Rwanda,,,0.0,2020.0,January,15
173,2020,January,27.6744872450955,15,2020-01-15,Saudi Arabia,,,0.0,2020.0,January,15
174,2020,January,27.6744872450955,15,2020-01-15,Sudan,,,0.0,2020.0,January,15
175,2020,January,27.6744872450955,15,2020-01-15,Senegal,,,0.0,2020.0,January,15
176,2020,January,27.6744872450955,15,2020-01-15,Singapore,0.0,0.0,13.89,2020.0,January,15
177,2020,January,27.6744872450955,15,2020-01-15,Solomon Islands,,,0.0,2020.0,January,15
178,2020,January,27.6744872450955,15,2020-01-15,Sierra Leone,,,0.0,2020.0,January,15
179,2020,January,27.6744872450955,15,2020-01-15,El Salvador,,,0.0,2020.0,January,15
180,2020,January,27.6744872450955,15,2020-01-15,San Marino,0.0,0.0,0.0,2020.0,January,15
181,2020,January,27.6744872450955,15,2020-01-15,Somalia,,,0.0,2020.0,January,15
182,2020,January,27.6744872450955,15,2020-01-15,Serbia,,,0.0,2020.0,January,15
183,2020,January,27.6744872450955,15,2020-01-15,South Sudan,,,0.0,2020.0,January,15
184,2020,January,27.6744872450955,15,2020-01-15,Suriname,,,0.0,2020.0,January,15
185,2020,January,27.6744872450955,15,2020-01-15,Slovak Republic,,,0.0,2020.0,January,15
186,2020,January,27.6744872450955,15,2020-01-15,Slovenia,,,0.0,2020.0,January,15
187,2020,January,27.6744872450955,15,2020-01-15,Sweden,0.0,0.0,0.0,2020.0,January,15
188,2020,January,27.6744872450955,15,2020-01-15,Eswatini,,,0.0,2020.0,January,15
189,2020,January,27.6744872450955,15,2020-01-15,Seychelles,,,0.0,2020.0,January,15
190,2020,January,27.6744872450955,15,2020-01-15,Syria,,,0.0,2020.0,January,15
191,2020,January,27.6744872450955,15,2020-01-15,Turks and Caicos Islands,,,0.0,2020.0,January,15
192,2020,January,27.6744872450955,15,2020-01-15,Chad,,,0.0,2020.0,January,15
193,2020,January,27.6744872450955,15,2020-01-15,Togo,,,0.0,2020.0,January,15
194,2020,January,27.6744872450955,15,2020-01-15,Thailand,1.0,0.0,0.0,2020.0,January,15
195,2020,January,27.6744872450955,15,2020-01-15,Tajikistan,,,0.0,2020.0,January,15
196,2020,January,27.6744872450955,15,2020-01-15,Turkmenistan,,,2.78,2020.0,January,15
197,2020,January,27.6744872450955,15,2020-01-15,Timor-Leste,,,0.0,2020.0,January,15
198,2020,January,27.6744872450955,15,2020-01-15,Trinidad and Tobago,,,0.0,2020.0,January,15
199,2020,January,27.6744872450955,15,2020-01-15,Tunisia,,,0.0,2020.0,January,15
200,2020,January,27.6744872450955,15,2020-01-15,Turkey,,,0.0,2020.0,January,15
201,2020,January,27.6744872450955,15,2020-01-15,Tanzania,,,0.0,2020.0,January,15
202,2020,January,27.6744872450955,15,2020-01-15,Uganda,,,0.0,2020.0,January,15
203,2020,January,27.6744872450955,15,2020-01-15,Ukraine,,,0.0,2020.0,January,15
204,2020,January,27.6744872450955,15,2020-01-15,Uruguay,,,0.0,2020.0,January,15
205,2020,January,27.6744872450955,15,2020-01-15,United States,0.0,0.0,0.0,2020.0,January,15
206,2020,January,27.6744872450955,15,2020-01-15,Uzbekistan,,,0.0,2020.0,January,15
207,2020,January,27.6744872450955,15,2020-01-15,Venezuela,,,0.0,2020.0,January,15
208,2020,January,27.6744872450955,15,2020-01-15,British Virgin Islands,,,0.0,2020.0,January,15
209,2020,January,27.6744872450955,15,2020-01-15,Vietnam,0.0,0.0,0.0,2020.0,January,15
210,2020,January,27.6744872450955,15,2020-01-15,Vanuatu,,,0.0,2020.0,January,15
211,2020,January,27.6744872450955,15,2020-01-15,Yemen,,,0.0,2020.0,January,15
212,2020,January,27.6744872450955,15,2020-01-15,South Africa,,,0.0,2020.0,January,15
213,2020,January,27.6744872450955,15,2020-01-15,Zambia,,,0.0,2020.0,January,15
214,2020,January,27.6744872450955,15,2020-01-15,Zimbabwe,,,0.0,2020.0,January,15
215,2020,January,27.6744872450955,15,2020-01-15,Taiwan,,,8.33,2020.0,January,15
216,2020,January,27.6744872450955,15,2020-01-15,Kosovo,,,0.0,2020.0,January,15
217,2020,January,27.6744872450955,15,2020-01-15,Anguilla,,,0.0,2020.0,January,15
218,2020,January,27.6744872450955,15,2020-01-15,Falkland Islands,,,0.0,2020.0,January,15
219,2020,January,27.6744872450955,15,2020-01-15,Montserrat,,,0.0,2020.0,January,15
220,2020,January,27.6744872450955,15,2020-01-15,Pitcairn Islands,,,0.0,2020.0,January,15
221,2020,February,25.98652998778088,15,2020-02-15,Aruba,,,0.0,2020.0,February,15
222,2020,February,25.98652998778088,15,2020-02-15,Afghanistan,0.0,0.0,0.0,2020.0,February,15
223,2020,February,25.98652998778088,15,2020-02-15,Angola,,,5.56,2020.0,February,15
224,2020,February,25.98652998778088,15,2020-02-15,Albania,,,5.56,2020.0,February,15
225,2020,February,25.98652998778088,15,2020-02-15,Andorra,,,0.0,2020.0,February,15
226,2020,February,25.98652998778088,15,2020-02-15,United Arab Emirates,8.0,0.0,2.78,2020.0,February,15
227,2020,February,25.98652998778088,15,2020-02-15,Argentina,,,11.11,2020.0,February,15
228,2020,February,25.98652998778088,15,2020-02-15,Australia,15.0,0.0,19.44,2020.0,February,15
229,2020,February,25.98652998778088,15,2020-02-15,Austria,0.0,0.0,0.0,2020.0,February,15
230,2020,February,25.98652998778088,15,2020-02-15,Azerbaijan,0.0,0.0,2.78,2020.0,February,15
231,2020,February,25.98652998778088,15,2020-02-15,Burundi,,,5.56,2020.0,February,15
232,2020,February,25.98652998778088,15,2020-02-15,Belgium,1.0,0.0,11.11,2020.0,February,15
233,2020,February,25.98652998778088,15,2020-02-15,Benin,,,2.78,2020.0,February,15
234,2020,February,25.98652998778088,15,2020-02-15,Burkina Faso,,,0.0,2020.0,February,15
235,2020,February,25.98652998778088,15,2020-02-15,Bangladesh,,,13.89,2020.0,February,15
236,2020,February,25.98652998778088,15,2020-02-15,Bulgaria,,,8.33,2020.0,February,15
237,2020,February,25.98652998778088,15,2020-02-15,Bahrain,0.0,0.0,16.67,2020.0,February,15
238,2020,February,25.98652998778088,15,2020-02-15,Bosnia and Herzegovina,,,11.11,2020.0,February,15
239,2020,February,25.98652998778088,15,2020-02-15,Belarus,0.0,0.0,0.0,2020.0,February,15
240,2020,February,25.98652998778088,15,2020-02-15,Belize,,,0.0,2020.0,February,15
241,2020,February,25.98652998778088,15,2020-02-15,Bermuda,,,19.44,2020.0,February,15
242,2020,February,25.98652998778088,15,2020-02-15,Bolivia,,,0.0,2020.0,February,15
243,2020,February,25.98652998778088,15,2020-02-15,Brazil,0.0,0.0,5.56,2020.0,February,15
244,2020,February,25.98652998778088,15,2020-02-15,Barbados,,,13.89,2020.0,February,15
245,2020,February,25.98652998778088,15,2020-02-15,Brunei,,,19.44,2020.0,February,15
246,2020,February,25.98652998778088,15,2020-02-15,Bhutan,,,13.89,2020.0,February,15
247,2020,February,25.98652998778088,15,2020-02-15,Botswana,,,13.89,2020.0,February,15
248,2020,February,25.98652998778088,15,2020-02-15,Central African Republic,,,0.0,2020.0,February,15
249,2020,February,25.98652998778088,15,2020-02-15,Canada,8.0,0.0,2.78,2020.0,February,15
250,2020,February,25.98652998778088,15,2020-02-15,Switzerland,0.0,0.0,0.0,2020.0,February,15
251,2020,February,25.98652998778088,15,2020-02-15,Chile,,,0.0,2020.0,February,15
