,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2017,Austria,2020-06-10,16902.0,672.0,43.52,43.52,2020.0,June,10.0,2.0,-26.0,3.0
2018,Austria,2020-06-11,16936.0,673.0,43.52,43.52,2020.0,June,11.0,2.0,-76.0,17.0
2019,Austria,2020-06-12,16964.0,674.0,43.52,43.52,2020.0,June,12.0,2.0,-42.0,5.0
2020,Austria,2020-06-13,16994.0,675.0,43.52,43.52,2020.0,June,13.0,2.0,-1.0,-2.0
2021,Austria,2020-06-14,17014.0,677.0,43.52,43.52,2020.0,June,14.0,2.0,-2.0,1.0
2022,Austria,2020-06-15,17038.0,677.0,43.52,43.52,2020.0,June,15.0,2.0,-24.0,5.0
2023,Austria,2020-06-16,17065.0,678.0,43.52,43.52,2020.0,June,16.0,2.0,-22.0,4.0
2024,Austria,2020-06-17,17098.0,681.0,43.52,43.52,2020.0,June,17.0,3.0,-23.0,4.0
2025,Austria,2020-06-18,17115.0,687.0,43.52,43.52,2020.0,June,18.0,3.0,-24.0,4.0
2026,Austria,2020-06-19,17155.0,688.0,43.52,43.52,2020.0,June,19.0,3.0,-24.0,4.0
2027,Austria,2020-06-20,17185.0,688.0,43.52,43.52,2020.0,June,20.0,3.0,-6.0,2.0
2028,Austria,2020-06-21,17247.0,688.0,43.52,43.52,2020.0,June,21.0,3.0,-9.0,2.0
2029,Austria,2020-06-22,17285.0,690.0,43.52,43.52,2020.0,June,22.0,3.0,-24.0,3.0
2030,Austria,2020-06-23,17320.0,690.0,43.52,43.52,2020.0,June,23.0,3.0,-23.0,2.0
2031,Austria,2020-06-24,17351.0,693.0,43.52,43.52,2020.0,June,24.0,4.0,-22.0,2.0
2032,Austria,2020-06-25,17384.0,693.0,43.52,43.52,2020.0,June,25.0,4.0,-24.0,4.0
2033,Austria,2020-06-26,17431.0,698.0,43.52,43.52,2020.0,June,26.0,4.0,-23.0,2.0
2034,Austria,2020-06-27,17498.0,698.0,43.52,43.52,2020.0,June,27.0,4.0,-2.0,-2.0
2035,Austria,2020-06-28,17562.0,700.0,43.52,43.52,2020.0,June,28.0,4.0,2.0,-4.0
2036,Austria,2020-06-29,17625.0,702.0,43.52,43.52,2020.0,June,29.0,4.0,-23.0,4.0
2037,Austria,2020-06-30,17666.0,703.0,43.52,43.52,2020.0,June,30.0,4.0,-20.0,2.0
2038,Austria,2020-07-01,17777.0,705.0,43.52,43.52,2020.0,July,1.0,1.0,-21.0,2.0
2039,Austria,2020-07-02,17814.0,705.0,43.52,43.52,2020.0,July,2.0,1.0,-21.0,3.0
2040,Austria,2020-07-03,17952.0,705.0,43.52,43.52,2020.0,July,3.0,1.0,-23.0,2.0
2041,Austria,2020-07-04,18073.0,705.0,43.52,43.52,2020.0,July,4.0,1.0,-2.0,-3.0
2042,Austria,2020-07-05,18196.0,705.0,43.52,43.52,2020.0,July,5.0,1.0,0.0,-6.0
2043,Austria,2020-07-06,18269.0,706.0,43.52,43.52,2020.0,July,6.0,1.0,-26.0,3.0
2044,Austria,2020-07-07,18326.0,706.0,43.52,43.52,2020.0,July,7.0,1.0,-26.0,2.0
2045,Austria,2020-07-08,18415.0,706.0,43.52,43.52,2020.0,July,8.0,1.0,-25.0,1.0
2046,Austria,2020-07-09,18516.0,706.0,43.52,43.52,2020.0,July,9.0,2.0,-26.0,1.0
2047,Austria,2020-07-10,18613.0,706.0,31.48,31.48,2020.0,July,10.0,2.0,-28.0,1.0
2048,Austria,2020-07-11,18687.0,706.0,31.48,31.48,2020.0,July,11.0,2.0,-12.0,2.0
2049,Austria,2020-07-12,18795.0,706.0,31.48,31.48,2020.0,July,12.0,2.0,-3.0,-4.0
2050,Austria,2020-07-13,18847.0,708.0,31.48,31.48,2020.0,July,13.0,2.0,-31.0,2.0
2051,Austria,2020-07-14,18859.0,708.0,31.48,31.48,2020.0,July,14.0,2.0,-31.0,1.0
2052,Austria,2020-07-15,19060.0,709.0,31.48,31.48,2020.0,July,15.0,2.0,-30.0,3.0
2053,Austria,2020-07-16,19115.0,710.0,31.48,31.48,2020.0,July,16.0,2.0,-32.0,4.0
2054,Austria,2020-07-17,19268.0,710.0,31.48,31.48,2020.0,July,17.0,3.0,-32.0,4.0
2055,Austria,2020-07-18,19406.0,710.0,31.48,31.48,2020.0,July,18.0,3.0,-11.0,1.0
2056,Austria,2020-07-19,19508.0,710.0,31.48,31.48,2020.0,July,19.0,3.0,-6.0,-2.0
2057,Austria,2020-07-20,19571.0,710.0,31.48,31.48,2020.0,July,20.0,3.0,-33.0,1.0
2058,Austria,2020-07-21,19679.0,710.0,31.48,31.48,2020.0,July,21.0,3.0,-33.0,2.0
2059,Austria,2020-07-22,19818.0,710.0,31.48,31.48,2020.0,July,22.0,3.0,-31.0,3.0
2060,Austria,2020-07-23,19958.0,711.0,31.48,31.48,2020.0,July,23.0,3.0,-31.0,2.0
2061,Austria,2020-07-24,20122.0,711.0,31.48,31.48,2020.0,July,24.0,3.0,-33.0,4.0
2062,Austria,2020-07-25,20229.0,711.0,31.48,31.48,2020.0,July,25.0,4.0,-7.0,-2.0
2063,Austria,2020-07-26,20349.0,712.0,31.48,31.48,2020.0,July,26.0,4.0,-5.0,-3.0
2064,Austria,2020-07-27,20486.0,712.0,31.48,31.48,2020.0,July,27.0,4.0,-35.0,1.0
2065,Austria,2020-07-28,20550.0,713.0,31.48,31.48,2020.0,July,28.0,4.0,-36.0,2.0
2066,Austria,2020-07-29,20682.0,713.0,31.48,31.48,2020.0,July,29.0,4.0,-35.0,3.0
2067,Austria,2020-07-30,20846.0,716.0,31.48,31.48,2020.0,July,30.0,4.0,-36.0,2.0
2068,Austria,2020-07-31,21009.0,718.0,31.48,31.48,2020.0,July,31.0,4.0,-36.0,1.0
2069,Austria,2020-08-01,21098.0,718.0,31.48,31.48,2020.0,August,1.0,1.0,-8.0,-5.0
2070,Austria,2020-08-02,21224.0,718.0,31.48,31.48,2020.0,August,2.0,1.0,-7.0,-3.0
2071,Austria,2020-08-03,21309.0,718.0,31.48,31.48,2020.0,August,3.0,1.0,-40.0,6.0
2072,Austria,2020-08-04,21341.0,718.0,31.48,31.48,2020.0,August,4.0,1.0,-40.0,6.0
2073,Austria,2020-08-05,21472.0,719.0,31.48,31.48,2020.0,August,5.0,1.0,-39.0,4.0
2074,Austria,2020-08-06,21575.0,719.0,31.48,31.48,2020.0,August,6.0,1.0,-39.0,2.0
2075,Austria,2020-08-07,21689.0,719.0,31.48,31.48,2020.0,August,7.0,1.0,-39.0,1.0
2076,Austria,2020-08-08,21819.0,720.0,31.48,31.48,2020.0,August,8.0,1.0,-8.0,-5.0
2077,Austria,2020-08-09,21935.0,721.0,31.48,31.48,2020.0,August,9.0,2.0,-3.0,-6.0
2078,Austria,2020-08-10,22011.0,721.0,31.48,31.48,2020.0,August,10.0,2.0,-38.0,1.0
2079,Austria,2020-08-11,22122.0,723.0,31.48,31.48,2020.0,August,11.0,2.0,-38.0,3.0
2080,Austria,2020-08-12,22260.0,723.0,31.48,31.48,2020.0,August,12.0,2.0,-37.0,2.0
2081,Austria,2020-08-13,22501.0,724.0,31.48,31.48,2020.0,August,13.0,2.0,-38.0,4.0
2082,Austria,2020-08-14,22730.0,725.0,31.48,31.48,2020.0,August,14.0,2.0,-38.0,3.0
2083,Austria,2020-08-15,22951.0,725.0,31.48,31.48,2020.0,August,15.0,2.0,-31.0,1.0
2084,Austria,2020-08-16,23211.0,728.0,31.48,31.48,2020.0,August,16.0,2.0,-5.0,-4.0
2085,Austria,2020-08-17,23373.0,728.0,31.48,31.48,2020.0,August,17.0,3.0,-36.0,3.0
